event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
ARRIVAL,2024-03-24 08:44:00,,2024-03-24 08:43:30,0,,,false,1,00000,2024-03-24 08:43:00,false,AUTOMATIC,, 2,60,false,072M82MD24,false,ON TIME,13562015,60,07587,true,DOWN,DOWN,ARRIVAL,07585,
DEPARTURE,2024-03-24 08:42:00,,2024-03-24 08:42:30,1,,,false,2,00000,2024-03-24 08:41:00,false,AUTOMATIC,,,91,false,722A33MD24,false,EARLY,24680004,91,72033,true,UP,UP,DEPARTURE,72277,
ARRIVAL,2024-03-24 08:44:00,,2024-03-24 08:44:00,1,,,true,1,72277,2024-03-24 08:43:00,false,AUTOMATIC,, 1,91,false,722A33MD24,false,EARLY,24680004,91,72277,true,UP,UP,ARRIVAL,72272,
DEPARTURE,2024-03-24 08:44:00,,2024-03-24 08:44:00,2,,,false,2,00000,2024-03-24 08:42:00,false,AUTOMATIC,,,91,false,722J24MC24,false,EARLY,24680004,91,72031,true,DOWN,DOWN,DEPARTURE,72020,
DEPARTURE,2024-03-24 08:42:00,,2024-03-24 08:42:30,1,,,false,2,00000,2024-03-24 08:41:00,false,AUTOMATIC,, 4,80,false,882S14MC24,false,EARLY,24655005,80,88468,true,DOWN,DOWN,DEPARTURE,88483,S
ARRIVAL,,,2024-03-24 08:34:00,9,,,true,1,87169,2024-03-24 08:43:00,false,AUTOMATIC,,,84,false,872F16MB24,false,LATE,24673605,84,87169,true,,,ARRIVAL,87271,
DEPARTURE,2024-03-24 08:42:00,,2024-03-24 08:42:00,1,,,true,6,65043,2024-03-24 08:41:00,false,AUTOMATIC,, 3,29,false,655H47ME24,false,EARLY,22977000,29,65043,true,UP,UP,DEPARTURE,65811,S
DEPARTURE,2024-03-24 08:41:00,,2024-03-24 08:41:30,0,,,false,3,00000,2024-03-24 08:41:00,false,AUTOMATIC,, 1,84,false,862Z111D24,false,ON TIME,24621104,84,86339,true,UP,UP,DEPARTURE,86334,
DEPARTURE,2024-03-24 08:38:00,,2024-03-24 08:38:30,1,,,false,6,00000,2024-03-24 08:37:00,false,AUTOMATIC,, 2,21,false,482J60MC24,false,EARLY,21895002,21,48195,true,DOWN,DOWN,DEPARTURE,48120,D
ARRIVAL,2024-03-24 08:44:00,,2024-03-24 08:44:00,2,,,false,2,00000,2024-03-24 08:42:00,false,AUTOMATIC,, 2,21,false,482J60MC24,false,EARLY,21895002,21,48120,true,DOWN,DOWN,ARRIVAL,48118,
ARRIVAL,2024-03-24 08:48:00,,2024-03-24 08:48:00,3,,,true,,47221,2024-03-24 08:45:00,false,AUTOMATIC,, 7,21,true,475H17MD24,false,EARLY,21916400,21,47221,true,UP,UP,DESTINATION,,
ARRIVAL,2024-03-24 08:41:00,,2024-03-24 08:41:00,2,,,false,1,00000,2024-03-24 08:43:00,false,AUTOMATIC,, 2,88,false,639M08MD24,false,LATE,22720000,88,63405,true,DOWN,DOWN,ARRIVAL,63305,
ARRIVAL,2024-03-24 08:42:00,,2024-03-24 08:42:00,1,,,true,1,63451,2024-03-24 08:43:00,false,AUTOMATIC,, 1,88,false,639M11MC24,false,LATE,22728000,88,63451,true,UP,UP,ARRIVAL,63547,
ARRIVAL,2024-03-24 08:44:00,,2024-03-24 08:43:30,0,,,false,1,00000,2024-03-24 08:43:00,false,AUTOMATIC,, 2,88,false,871P05MC24,false,ON TIME,24786000,88,87810,true,DOWN,DOWN,ARRIVAL,87811,
DEPARTURE,,,2024-03-24 08:43:00,1,,,true,2,04221,2024-03-24 08:42:00,false,AUTOMATIC,,,60,false,042H07MD24,false,EARLY,13560015,60,04221,true,DOWN,DOWN,DEPARTURE,04039,S
ARRIVAL,2024-03-24 08:45:00,,2024-03-24 08:45:00,0,,,false,1,00000,2024-03-24 08:45:00,false,AUTOMATIC,, 1,80,false,881H58MD24,false,ON TIME,24602004,80,89398,true,UP,UP,ARRIVAL,89386,
DEPARTURE,2024-03-24 08:42:00,,2024-03-24 08:42:00,0,,,true,3,87601,2024-03-24 08:42:00,false,AUTOMATIC,, 7,80,false,881N30MD24,false,ON TIME,24657005,80,87601,true,DOWN,DOWN,DEPARTURE,88412,S
DEPARTURE,,,2024-03-24 08:42:30,0,,,true,1,52217,2024-03-24 08:42:00,false,AUTOMATIC,,,80,false,631J16MD24,false,ON TIME,24647004,80,52217,true,DOWN,DOWN,DEPARTURE,52215,3
ARRIVAL,2024-03-24 08:44:00,,2024-03-24 08:43:30,0,,,true,1,52215,2024-03-24 08:43:00,false,AUTOMATIC,, 3,80,false,631J16MD24,false,ON TIME,24647004,80,52215,true,DOWN,DOWN,ARRIVAL,52213,
DEPARTURE,2024-03-24 08:42:00,,2024-03-24 08:42:00,0,,,true,7,50111,2024-03-24 08:42:00,false,AUTOMATIC,,,21,false,502T65MD24,false,ON TIME,21926001,21,50111,true,UP,UP,DEPARTURE,50109,
ARRIVAL,2024-03-24 08:44:00,,2024-03-24 08:43:30,0,,,false,1,00000,2024-03-24 08:43:00,false,AUTOMATIC,, 2,21,false,522K04MB24,false,ON TIME,21943001,21,50315,true,DOWN,DOWN,ARRIVAL,50314,
DEPARTURE,2024-03-24 08:40:00,,2024-03-24 08:40:30,2,,,false,2,00000,2024-03-24 08:42:00,false,AUTOMATIC,, 2,64,false,362S09MC24,false,LATE,12301012,64,36069,true,DOWN,DOWN,DEPARTURE,36068,
DEPARTURE,,,2024-03-24 08:40:30,2,,,false,5,00000,2024-03-24 08:42:00,false,AUTOMATIC,,,29,false,652A09MC24,false,LATE,12256320,29,65826,true,UP,UP,DEPARTURE,65630,
