event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
ARRIVAL,2024-03-24 01:14:00,,2024-03-24 01:13:30,1,,,false,1,00000,2024-03-24 01:14:00,false,AUTOMATIC,, 2,21,false,522K26M024,false,LATE,21943001,21,50315,true,DOWN,DOWN,ARRIVAL,50314,
ARRIVAL,2024-03-24 01:12:00,,2024-03-24 01:11:30,3,,,false,1,00000,2024-03-24 01:14:00,false,AUTOMATIC,, 2,84,false,872L81M024,false,LATE,24629204,84,86045,true,DOWN,DOWN,ARRIVAL,86047,
DEPARTURE,,,2024-03-24 00:59:00,14,,,true,3,86499,2024-03-24 01:13:00,false,AUTOMATIC,, 2,84,false,865B69M024,false,LATE,24676004,84,86499,true,DOWN,DOWN,DEPARTURE,86507,S
DEPARTURE,,,2024-03-24 01:07:30,7,,,false,3,00000,2024-03-24 01:14:00,false,AUTOMATIC,,,88,false,879J76M823,false,LATE,22729000,88,45144,true,DOWN,DOWN,DEPARTURE,45106,S
ARRIVAL,2024-03-24 01:03:00,,2024-03-24 01:02:00,11,,,true,,80419,2024-03-24 01:13:00,false,MANUAL,,,71,true,792E52M024,false,LATE,25432000,71,80419,false,,,DESTINATION,,
DEPARTURE,2024-03-24 01:08:00,,2024-03-24 01:08:00,5,,,true,7,50328,2024-03-24 01:13:00,false,AUTOMATIC,, 6,33,false,505C58M124,false,LATE,21381008,33,50328,true,UP,UP,DEPARTURE,50339,E
DEPARTURE,2024-03-24 01:17:00,,2024-03-24 01:17:00,4,,,true,2,89011,2024-03-24 01:13:00,false,AUTOMATIC,, 2,80,false,895U81M024,false,EARLY,24607006,80,89011,true,DOWN,DOWN,DEPARTURE,89010,
DEPARTURE,,,2024-03-24 01:15:00,2,,,true,2,87611,2024-03-24 01:13:00,false,AUTOMATIC,, 2,88,false,629W211024,false,EARLY,22720000,88,87611,true,DOWN,DOWN,DEPARTURE,87613,P
ARRIVAL,2024-03-24 01:12:00,,2024-03-24 01:12:00,2,,,false,1,00000,2024-03-24 01:14:00,false,AUTOMATIC,, 2,88,false,872B64M024,false,LATE,24782000,88,87663,true,DOWN,DOWN,ARRIVAL,87665,
DEPARTURE,,,2024-03-24 01:16:00,3,,,true,3,52739,2024-03-24 01:13:00,false,AUTOMATIC,,,21,false,471B49M024,false,EARLY,21911000,21,52739,true,UP,UP,DEPARTURE,52741,M
ARRIVAL,2024-03-24 01:20:00,,2024-03-24 01:19:30,5,,,true,6,50328,2024-03-24 01:14:00,false,AUTOMATIC,, 4,21,false,522K28M024,false,EARLY,21943001,21,50328,true,DOWN,DOWN,ARRIVAL,50251,
DEPARTURE,,,2024-03-24 01:14:00,0,,,true,10,87972,2024-03-24 01:14:00,false,AUTOMATIC,,,88,false,871F72M124,false,ON TIME,24746000,88,87972,true,DOWN,DOWN,DEPARTURE,88221,L
DEPARTURE,2024-03-24 01:00:00,,2024-03-24 01:00:00,13,,,false,1,00000,2024-03-24 01:13:00,false,AUTOMATIC,, 2,80,false,872M66M024,false,LATE,24652005,80,88478,true,DOWN,DOWN,DEPARTURE,88479,F
DEPARTURE,2024-03-24 01:14:00,,2024-03-24 01:14:00,1,,,true,2,88721,2024-03-24 01:13:00,false,AUTOMATIC,, 0,80,false,885A66M124,false,EARLY,24657005,80,88721,true,UP,UP,DEPARTURE,88711,
ARRIVAL,2024-03-24 01:12:00,,2024-03-24 01:12:00,2,,,true,1,89144,2024-03-24 01:14:00,false,AUTOMATIC,, 2,80,false,871S74M024,false,LATE,24604004,80,89144,true,DOWN,DOWN,ARRIVAL,89149,
DEPARTURE,2024-03-24 01:09:00,,2024-03-24 01:09:00,4,,,true,4,87103,2024-03-24 01:13:00,false,AUTOMATIC,, 2,84,false,745C771024,false,LATE,24676004,84,87103,true,DOWN,DOWN,DEPARTURE,87102,
DEPARTURE,,,2024-03-24 01:17:00,3,,,false,2,00000,2024-03-24 01:14:00,false,AUTOMATIC,,,84,false,745C751024,false,EARLY,24676004,84,87037,true,DOWN,DOWN,DEPARTURE,87031,A
DEPARTURE,2024-03-24 01:14:00,,2024-03-24 01:14:00,1,,,false,1,00000,2024-03-24 01:13:00,false,AUTOMATIC,, 1,30,false,879I04M124,false,EARLY,22218000,30,52088,true,UP,UP,DEPARTURE,52084,
ARRIVAL,2024-03-24 01:13:00,,2024-03-24 01:12:30,2,,,false,1,00000,2024-03-24 01:14:00,false,AUTOMATIC,, 1,30,false,879I02M024,false,LATE,22218000,30,52049,true,UP,UP,ARRIVAL,52051,
DEPARTURE,2024-03-24 01:13:00,,2024-03-24 01:13:00,0,,,false,3,00000,2024-03-24 01:13:00,false,AUTOMATIC,, 4,88,false,541P00M024,false,ON TIME,22727100,88,45611,true,DOWN,DOWN,DEPARTURE,45603,S
DEPARTURE,2024-03-24 01:10:00,,2024-03-24 01:10:00,3,,,false,20,00000,2024-03-24 01:13:00,false,AUTOMATIC,,,88,false,875G54M024,false,LATE,24788005,88,87638,true,UP,UP,DEPARTURE,87639,
DEPARTURE,,,2024-03-24 01:14:30,1,,,false,3,00000,2024-03-24 01:13:00,false,AUTOMATIC,, 1,88,false,885F68M024,false,EARLY,24788005,88,88271,true,UP,UP,DEPARTURE,88249,
DEPARTURE,2024-03-24 01:07:00,,2024-03-24 01:07:30,6,,,false,6,00000,2024-03-24 01:13:00,false,AUTOMATIC,, 2,88,false,541C74M024,false,LATE,21725000,88,47242,true,DOWN,DOWN,DEPARTURE,47250,
ARRIVAL,,,,0,,,false,,,2024-03-24 01:14:00,false,AUTOMATIC,,,84,false,872Z941024,true,OFF ROUTE,24672104,84,87152,,,,ARRIVAL,,
DEPARTURE,,,,0,,,false,,,2024-03-24 01:13:00,false,AUTOMATIC,,,84,false,875H86M124,true,OFF ROUTE,24676004,84,87158,,,,DEPARTURE,,
ARRIVAL,2024-03-24 01:22:00,,2024-03-24 01:22:00,6,,,true,18,87160,2024-03-24 01:16:00,false,AUTOMATIC,, 1,84,false,875H86M124,false,EARLY,24676004,84,87160,true,UP,UP,ARRIVAL,87134,
DEPARTURE,2024-03-24 01:13:00,,2024-03-24 01:13:30,0,,,true,2,88464,2024-03-24 01:13:00,false,AUTOMATIC,, 2,80,false,882N68M024,false,ON TIME,24657005,80,88464,true,DOWN,DOWN,DEPARTURE,88436,
ARRIVAL,2024-03-24 00:30:00,,2024-03-24 00:30:00,7,,,true,,00000,2024-03-24 00:23:00,true,MANUAL,I7T,,05,true,656P021024,false,EARLY,53790125,05,69217,true,,,DESTINATION,,
ARRIVAL,2024-03-24 01:14:00,,2024-03-24 01:14:00,0,,,true,1,87245,2024-03-24 01:14:00,false,AUTOMATIC,, 2,88,false,875V86M024,false,ON TIME,22788002,88,87245,true,UP,UP,ARRIVAL,87244,
ARRIVAL,2024-03-24 01:23:00,,2024-03-24 01:23:00,8,,,false,15,00000,2024-03-24 01:15:00,false,AUTOMATIC,,,88,false,545E46M124,false,EARLY,21788001,88,54210,true,UP,UP,ARRIVAL,54208,
ARRIVAL,2024-03-24 01:23:00,,2024-03-24 01:23:00,9,,,true,,87051,2024-03-24 01:14:00,false,AUTOMATIC,,,84,true,875D75M124,false,EARLY,24676004,84,87051,true,DOWN,DOWN,DESTINATION,,
DEPARTURE,,,2024-03-24 01:10:00,4,,,false,4,00000,2024-03-24 01:14:00,false,AUTOMATIC,, 2,84,false,875Y411024,false,LATE,24676004,84,87216,true,DOWN,DOWN,DEPARTURE,87217,S
DEPARTURE,2024-03-24 00:52:00,,2024-03-24 00:52:00,21,,,true,1,51011,2024-03-24 01:13:00,false,AUTOMATIC,, 2,79,false,522D76M923,false,LATE,24936004,79,51011,true,DOWN,DOWN,DEPARTURE,51009,D
DEPARTURE,2024-03-24 01:14:00,,2024-03-24 01:14:00,1,,,true,2,51301,2024-03-24 01:13:00,false,AUTOMATIC,, 3,79,false,522B78M024,false,EARLY,21936004,79,51301,true,DOWN,DOWN,DEPARTURE,51019,D
DEPARTURE,2024-03-24 01:12:00,,2024-03-24 01:12:30,1,,,false,3,00000,2024-03-24 01:13:00,false,AUTOMATIC,, 2,88,false,629W17M823,false,LATE,22720000,88,87971,true,DOWN,DOWN,DEPARTURE,87973,
DEPARTURE,,,2024-03-24 00:58:30,16,,,true,3,75356,2024-03-24 01:14:00,false,AUTOMATIC,,,25,false,731C38M923,false,LATE,25370002,25,75356,true,UP,UP,DEPARTURE,81501,D
ARRIVAL,2024-03-24 01:08:00,,2024-03-24 01:08:00,7,,,true,1,73508,2024-03-24 01:15:00,false,AUTOMATIC,, 2,74,false,632A77M024,false,LATE,25211004,74,73508,true,DOWN,DOWN,ARRIVAL,73520,2
DEPARTURE,,,2024-03-24 01:09:00,5,,,true,1,87219,2024-03-24 01:14:00,false,AUTOMATIC,,14,88,false,875T01M024,false,LATE,24788005,88,87219,true,UP,UP,DEPARTURE,87230,S
DEPARTURE,2024-03-24 01:15:00,,2024-03-24 01:15:30,1,,,true,1,87245,2024-03-24 01:14:00,false,AUTOMATIC,, 2,88,false,875V86M024,false,EARLY,22788002,88,87245,true,UP,UP,DEPARTURE,87244,
DEPARTURE,,,2024-03-24 01:18:30,4,,,false,4,00000,2024-03-24 01:14:00,false,AUTOMATIC,,,88,false,535E921124,false,EARLY,21788001,88,53247,true,UP,UP,DEPARTURE,53250,H
ARRIVAL,2024-03-24 01:14:00,,2024-03-24 01:14:00,0,,,false,1,00000,2024-03-24 01:14:00,false,AUTOMATIC,,,33,false,522W66M024,false,ON TIME,21381001,33,50417,true,DOWN,DOWN,ARRIVAL,50412,
DEPARTURE,,,2024-03-24 01:04:00,10,,,false,1,00000,2024-03-24 01:14:00,false,AUTOMATIC,,,88,false,879W18M923,false,LATE,22721000,88,63547,true,DOWN,DOWN,DEPARTURE,63449,S
